date,customer_id,firstname,lastname,email
2024-05-01,3,Firstname_3,Lastname_3,user3@example.com
2024-05-01,4,Firstname_4,Lastname_4,user4@example.com
2024-05-01,5,Firstname_5,Lastname_5,user5@example.com
2024-05-01,6,Firstname_6,Lastname_6,user6@example.com
2024-05-01,9,Firstname_9,Lastname_9,user9@example.com
2024-05-01,10,Firstname_10,Lastname_10,user10@example.com
2024-05-01,11,Firstname_11,Lastname_11,user11@example.com
2024-05-01,15,Firstname_15,Lastname_15,user15@example.com
2024-05-01,16,Firstname_16,Lastname_16,user16@example.com
2024-05-01,17,Firstname_17,Lastname_17,user17@example.com
2024-05-01,19,Firstname_19,Lastname_19,user19@example.com
